iter	Logloss
0	0.5974679924
1	0.5170071822
2	0.4532688008
3	0.3954920824
4	0.3515413782
5	0.3163750572
6	0.2825229307
7	0.2532641418
8	0.2302355159
9	0.2123508425
10	0.19671832
11	0.1821830271
12	0.1702404837
13	0.1611044168
14	0.1534648967
15	0.1461789914
16	0.1405363022
17	0.1351653599
18	0.1313465216
19	0.1264888517
20	0.1219728203
21	0.118220004
22	0.1151917
23	0.1120336187
24	0.1094559405
25	0.1068001806
26	0.1019230308
27	0.10005645
28	0.09796641681
29	0.09628004459
30	0.09492604947
31	0.09187030974
32	0.09059656494
33	0.08935825374
34	0.08806587115
35	0.08614770521
36	0.08467789134
37	0.08374298949
38	0.08257800541
39	0.08017632888
40	0.07918955449
41	0.07815074633
42	0.07744727134
43	0.07565855591
44	0.07501995041
45	0.07436349964
46	0.07353931497
47	0.07284405773
48	0.07226475273
49	0.07149287119
50	0.07066263148
51	0.06977570455
52	0.06941064444
53	0.06824714723
54	0.06761098204
55	0.06696808533
56	0.06656328273
57	0.06608497544
58	0.06542297706
59	0.06451714482
60	0.06422184041
61	0.06367722915
62	0.06291190766
63	0.06245587018
64	0.0617120942
65	0.06033470369
66	0.05983475296
67	0.0590036327
68	0.05842937908
69	0.05786034308
70	0.05738886453
71	0.05697380504
72	0.056557802
73	0.05633892229
74	0.05596771808
75	0.05574006268
76	0.05545182985
77	0.0550650101
78	0.05469004767
79	0.05435965281
80	0.05394074787
81	0.0534380209
82	0.05263147258
83	0.05245884002
84	0.05207086288
85	0.05185985536
86	0.05163704453
87	0.05142715546
88	0.05105858277
89	0.05072221915
90	0.05047793768
91	0.05009180751
92	0.04970486825
93	0.04947211355
94	0.0490212213
95	0.04889937206
96	0.04857410219
97	0.048204128
98	0.04791512237
99	0.04762331457
100	0.04722470349
101	0.04688275118
102	0.04655744275
103	0.04623781984
104	0.04600082409
105	0.04566994885
106	0.04542987282
107	0.04520940637
108	0.04504201009
109	0.04480652622
110	0.04450559891
111	0.04430549023
112	0.04384715243
113	0.04358876718
114	0.04329164614
115	0.04306873598
116	0.04288557607
117	0.04269469471
118	0.04249874491
119	0.04237136998
120	0.04202257737
121	0.04182979327
122	0.04145148511
123	0.04122219775
124	0.04099258703
125	0.04029546096
126	0.04009153587
127	0.03994721563
128	0.03971765167
129	0.03937928189
130	0.03923970551
131	0.03879849074
132	0.03854136679
133	0.03846288061
134	0.03826568473
135	0.03816360269
136	0.03797177211
137	0.03772680094
138	0.03753262412
139	0.03734317882
140	0.0372130707
141	0.03697368237
142	0.03687433569
143	0.0367682515
144	0.03641868998
145	0.03617015024
146	0.03595553397
147	0.03562257063
148	0.0355251275
149	0.03538318621
150	0.03487997913
151	0.03472795622
152	0.0346205967
153	0.03443644653
154	0.03425374754
155	0.03406041363
156	0.03379092297
157	0.03356687192
158	0.03309609678
159	0.03303487475
160	0.03289014765
161	0.03280526611
162	0.03259489035
163	0.03238296244
164	0.03219776974
165	0.03212767759
166	0.03201898078
167	0.03192038169
168	0.03183462365
169	0.03168744484
170	0.03144110909
171	0.03137202877
172	0.03129343883
173	0.03118816551
174	0.03108754395
175	0.03099573758
176	0.03079925987
177	0.03069959436
178	0.03063756152
179	0.03049420058
180	0.03043961418
181	0.03035684914
182	0.03019491008
183	0.03004042675
184	0.02999994007
185	0.029785919
186	0.0297078199
187	0.02958033901
188	0.02940232372
189	0.02934825798
190	0.02903430861
191	0.02887972476
192	0.02879131389
193	0.02868088133
194	0.02854497947
195	0.02842661982
196	0.02827373887
197	0.02819471677
198	0.02813404663
199	0.02800022549
200	0.02792926559
201	0.02771840234
202	0.02761728848
203	0.0274610093
204	0.02741359671
205	0.02723133614
206	0.02710806757
207	0.02694594661
208	0.02683904546
209	0.02676907069
210	0.02671037405
211	0.02660576977
212	0.02648952513
213	0.02632489909
214	0.02619991401
215	0.02602713129
216	0.02591713148
217	0.02568732374
218	0.02552228133
219	0.0254132906
220	0.02536018533
221	0.02529116795
222	0.02517163937
223	0.02500592184
224	0.02493220245
225	0.02482759504
226	0.02476305003
227	0.02470893301
228	0.02465377901
229	0.02461175692
230	0.02456838404
231	0.02448967959
232	0.02440577459
233	0.02438073804
234	0.02428117489
235	0.02427366991
236	0.02409491693
237	0.02398925322
238	0.02383815419
239	0.02374645843
240	0.02365951013
241	0.0235176594
242	0.02341636138
243	0.02334574625
244	0.02325510166
245	0.02317290313
246	0.02308695214
247	0.02295932839
248	0.02282151958
249	0.02278264306
250	0.02271181596
251	0.02267443904
252	0.02260582315
253	0.02251857886
254	0.02239241605
255	0.02235507564
256	0.0222168165
257	0.02212745861
258	0.02206219678
