iter	Passed	Remaining
401	13266	19735
402	13290	19688
403	13312	19639
404	13334	19589
405	13358	19544
406	13381	19496
407	13405	19451
408	13431	19408
409	13463	19374
410	13493	19337
411	13521	19296
412	13549	19258
413	13579	19221
414	13608	19182
415	13635	19142
416	13663	19102
417	13691	19063
418	13719	19024
419	13747	18984
420	13777	18947
421	13802	18904
422	13832	18867
423	13859	18827
424	13884	18785
425	13911	18744
426	13936	18702
427	13962	18660
428	13989	18619
429	14016	18580
430	14043	18539
431	14067	18496
432	14095	18458
433	14122	18417
434	14149	18377
435	14176	18338
436	14198	18292
437	14221	18248
438	14245	18204
439	14269	18161
440	14294	18119
441	14318	18076
442	14343	18034
443	14362	17985
444	14382	17937
445	14402	17890
446	14425	17846
447	14447	17801
448	14470	17757
449	14492	17712
450	14514	17668
451	14537	17624
452	14558	17579
453	14581	17536
454	14605	17494
455	14627	17450
456	14649	17406
457	14672	17364
458	14696	17322
459	14718	17278
460	14743	17237
461	14765	17194
462	14788	17152
463	14813	17111
464	14836	17070
465	14858	17026
466	14879	16982
467	14899	16937
468	14921	16893
469	14945	16853
470	14969	16813
471	14993	16772
472	15018	16732
473	15041	16691
474	15065	16651
475	15089	16611
476	15114	16572
477	15138	16532
478	15163	16493
479	15185	16450
480	15210	16412
481	15233	16370
482	15255	16329
483	15279	16289
484	15301	16248
485	15325	16208
486	15349	16168
487	15371	16127
488	15394	16087
489	15416	16046
490	15440	16006
491	15461	15964
492	15483	15923
493	15506	15883
494	15529	15843
495	15553	15804
496	15574	15762
497	15595	15720
498	15620	15682
499	15646	15646
500	15670	15607
501	15692	15567
502	15712	15524
503	15734	15485
504	15757	15445
505	15780	15405
506	15803	15367
507	15826	15327
508	15847	15287
509	15872	15249
510	15894	15210
511	15918	15172
512	15942	15134
513	15965	15095
514	15986	15055
515	16009	15017
516	16032	14977
517	16054	14938
518	16078	14901
519	16102	14863
520	16121	14821
521	16145	14784
522	16170	14748
523	16194	14710
524	16217	14672
525	16238	14633
526	16263	14596
527	16285	14558
528	16310	14521
529	16331	14483
530	16354	14444
531	16377	14406
532	16400	14369
533	16422	14331
534	16454	14301
535	16481	14267
536	16510	14234
537	16536	14200
538	16562	14165
539	16587	14130
540	16609	14091
541	16630	14053
542	16655	14017
543	16679	13981
544	16701	13943
545	16726	13908
546	16748	13870
547	16769	13832
548	16791	13794
549	16813	13756
550	16839	13722
551	16861	13685
552	16884	13647
553	16906	13610
554	16929	13574
555	16953	13538
556	16976	13501
557	16996	13463
558	17019	13426
559	17038	13387
560	17059	13349
561	17081	13312
562	17104	13276
563	17127	13240
564	17151	13204
565	17172	13167
566	17194	13130
567	17216	13094
568	17239	13058
569	17260	13021
570	17282	12984
571	17304	12947
572	17326	12911
573	17348	12875
574	17371	12839
575	17393	12803
576	17415	12767
577	17436	12730
578	17457	12693
579	17478	12657
580	17500	12621
581	17522	12584
582	17543	12548
583	17566	12513
584	17588	12477
585	17610	12441
586	17632	12405
587	17655	12370
588	17675	12333
589	17695	12296
590	17716	12260
591	17738	12224
592	17759	12188
593	17779	12152
594	17798	12115
595	17819	12078
596	17844	12045
597	17863	12008
598	17883	11972
599	17904	11936
600	17926	11901
601	17946	11865
602	17970	11831
603	17993	11796
604	18015	11762
605	18037	11727
606	18056	11690
607	18075	11653
608	18096	11618
609	18119	11584
610	18141	11549
611	18161	11514
612	18184	11480
613	18206	11446
614	18226	11410
615	18247	11374
616	18270	11341
617	18293	11307
618	18315	11273
619	18338	11239
620	18358	11204
621	18376	11168
622	18397	11133
623	18416	11097
624	18436	11062
625	18457	11027
626	18478	10992
627	18499	10958
628	18522	10924
629	18542	10890
630	18563	10855
631	18584	10821
632	18603	10786
633	18622	10750
634	18645	10717
635	18665	10682
636	18686	10648
637	18709	10615
